date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2022-04-19,439500,104700,85000,36400,52300,69400,103500,261500,102400,65900,1070.79
2022-04-20,440000,103300,84500,36900,52200,67800,101500,258000,96800,64800,1055.81
2022-04-21,437000,103400,83500,36000,51500,66100,102000,258000,93400,64600,1050.73
2022-04-22,422500,101400,82100,35800,50700,64800,99900,250000,93800,62200,1024.43
2022-04-25,412500,98600,79800,35200,49900,62700,96200,242500,91600,60700,994.9
2022-04-26,420000,98500,81000,35600,49700,61800,98200,248500,98000,61900,1017.98
2022-04-27,410000,94400,78100,35100,48900,60400,94200,238500,74200,59400,965.4
2022-04-28,412500,94500,77500,35200,48650,60300,94400,240500,67000,59900,963.51
2022-04-29,421500,95800,77600,35200,49800,61100,95600,252000,68200,60500,985.88
2022-05-02,425000,95000,78100,35650,49600,59400,93000,251500,67800,59000,978.63
2022-05-03,432500,97200,81000,35500,49100,59100,93100,256500,65700,59100,988.38
2022-05-04,423000,94600,81100,34950,48850,58000,91500,258000,65500,58500,977.61
2022-05-06,414000,91600,72200,34550,48200,55600,88900,256500,62300,57300,953.73
2022-05-09,411000,89300,71000,34250,46450,54300,88700,251500,60700,56900,942.8
2022-05-10,408000,88100,69700,31200,46450,53300,88400,245000,61200,56900,931.79
2022-05-11,413000,88600,69700,30450,44700,55000,88600,257000,61200,57900,947.69
2022-05-12,398500,77700,62000,29650,41950,50300,83900,252000,57500,54400,906.18
2022-05-13,439500,81400,65300,29950,43200,51600,72300,253500,58300,55000,906.94
2022-05-16,420500,78500,65300,30150,43200,50500,73800,241000,57500,55100,885.58
2022-05-17,421500,79800,67300,30100,43800,50200,73800,240000,59400,56400,889.52
2022-05-18,435500,79800,67300,29950,43900,47650,76600,247500,58100,56600,911.64
2022-05-19,429500,78200,66400,30050,42350,46100,80000,237000,57600,56000,904.43
2022-05-20,450000,82100,70500,30050,43150,49550,80800,256000,60300,58900,946.81
2022-05-23,455000,82600,75800,31100,43200,49750,80800,256500,61000,58800,954.15
2022-05-24,442500,80600,73200,31100,42150,48000,78500,247500,60000,57700,927.12
2022-05-25,444500,83900,81900,31250,43150,50000,80200,257000,63200,60600,953.39
2022-05-26,454500,83000,79600,31700,43300,50300,79500,255000,62900,59700,953.78
2022-05-27,451000,84200,79000,31800,43400,51200,81800,249000,62600,59500,951.77
2022-05-30,456000,88000,87000,32200,44500,51800,82000,259000,62700,61400,972.34
2022-05-31,455000,88000,85400,31750,43950,51100,83500,259500,63400,62500,976.69
2022-06-02,456000,86900,81100,31450,43800,51500,80800,250000,61900,62000,956.79
2022-06-03,449500,88000,81000,31900,44450,51100,82300,253000,61600,61900,959.68
2022-06-07,441500,87000,78300,31600,43800,49500,80000,268500,61000,61100,959.76
2022-06-08,459000,88300,78300,31700,43950,51100,81500,271500,62300,61500,980.01
2022-06-09,465500,88000,78000,32000,44200,50000,81200,276500,63400,61600,988.92
2022-06-10,457000,88000,83400,31850,43950,50000,80900,274000,62000,60400,980.35
2022-06-13,436500,81700,79800,30650,41450,47100,75700,260000,58500,57800,929.4
2022-06-14,427000,81400,68400,29800,40700,47850,74900,261000,58100,58500,916.59
2022-06-15,411000,78900,66700,28700,39700,46150,71900,259500,55600,56400,890.15
2022-06-16,401000,77400,68100,28350,39800,46700,71200,252000,55400,57400,875.91
2022-06-17,398000,77300,69300,27400,39850,45100,71300,262500,55600,56200,883.04
2022-06-20,399500,72800,65400,26750,38500,43000,69500,259000,52900,50500,863.72
2022-06-21,411500,76100,70100,29400,38400,45300,71400,268500,54200,55800,896.75
2022-06-22,404500,73000,67300,28500,37300,43400,69300,259500,51800,50700,867.66
2022-06-23,418500,69400,53300,28200,36600,41550,69600,264500,50500,46700,868.73
2022-06-24,435000,74900,58500,28850,38600,44350,72800,273500,53900,49400,907.19
2022-06-27,417500,73800,57600,29000,38800,44400,71600,266000,53900,51700,887.48
2022-06-28,398500,74000,60500,29500,39200,43500,72200,260000,53700,51300,872.27
2022-06-29,388500,73400,59400,29950,38750,43550,70300,238000,52600,49650,836.59
2022-06-30,349500,71700,57700,27950,38400,42950,68900,219000,51100,49150,785.73
2022-07-01,350000,71200,59100,29050,38550,41050,67400,215500,49250,48350,776.99
2022-07-04,354500,70000,52200,28350,38550,39950,68200,222500,50500,46700,783.94
2022-07-05,362500,74600,55700,29550,41800,43550,68900,226000,51900,49300,802.92
2022-07-06,360500,73700,56700,28600,41600,42250,68200,234000,51800,49450,807.01
2022-07-07,376000,73800,58700,27000,41850,44150,69000,240500,52300,49700,826.61
